Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
2018,vitec_v3,mv_fast,crowd_run_sh,4000,0,5.980373428842011,enc_res_vitec_v3_mv_fast_crowd_run_sh_4000
2018,divx,mv_ripping,ducks_take_off_sh,1000,0,2.9389241342504384,enc_res_divx_mv_ripping_ducks_take_off_sh_1000
2018,divx,mv_ripping,ducks_take_off_sh,2000,0,4.469097406144381,enc_res_divx_mv_ripping_ducks_take_off_sh_2000
2018,divx,mv_ripping,ducks_take_off_sh,4000,0,5.573312041023373,enc_res_divx_mv_ripping_ducks_take_off_sh_4000
2018,huawei1,mv_ripping,ducks_take_off_sh,1000,0,0.0,enc_res_huawei1_mv_ripping_ducks_take_off_sh_1000
2018,huawei1,mv_ripping,ducks_take_off_sh,2000,0,0.0,enc_res_huawei1_mv_ripping_ducks_take_off_sh_2000
2018,huawei1,mv_ripping,ducks_take_off_sh,4000,0,0.0,enc_res_huawei1_mv_ripping_ducks_take_off_sh_4000
2018,huawei2,mv_ripping,ducks_take_off_sh,1000,0,2.6097237162873306,enc_res_huawei2_mv_ripping_ducks_take_off_sh_1000
2018,huawei2,mv_ripping,ducks_take_off_sh,2000,0,4.5462017549011975,enc_res_huawei2_mv_ripping_ducks_take_off_sh_2000
2018,huawei2,mv_ripping,ducks_take_off_sh,4000,0,5.633846611692242,enc_res_huawei2_mv_ripping_ducks_take_off_sh_4000
2018,intel_mfx_sw,mv_ripping,ducks_take_off_sh,1000,0,3.320207703909318,enc_res_intel_mfx_sw_mv_ripping_ducks_take_off_sh_1000
2018,intel_mfx_sw,mv_ripping,ducks_take_off_sh,2000,0,5.113034294849337,enc_res_intel_mfx_sw_mv_ripping_ducks_take_off_sh_2000
2018,intel_mfx_sw,mv_ripping,ducks_take_off_sh,4000,0,6.073081530276768,enc_res_intel_mfx_sw_mv_ripping_ducks_take_off_sh_4000
2018,intel_svt_hevc,mv_ripping,ducks_take_off_sh,1000,0,2.5361179560725624,enc_res_intel_svt_hevc_mv_ripping_ducks_take_off_sh_1000
2018,intel_svt_hevc,mv_ripping,ducks_take_off_sh,2000,0,4.002754891418627,enc_res_intel_svt_hevc_mv_ripping_ducks_take_off_sh_2000
2018,intel_svt_hevc,mv_ripping,ducks_take_off_sh,4000,0,5.339359377666779,enc_res_intel_svt_hevc_mv_ripping_ducks_take_off_sh_4000
2018,ks265,mv_ripping,ducks_take_off_sh,1000,0,1.925761595135332,enc_res_ks265_mv_ripping_ducks_take_off_sh_1000
2018,ks265,mv_ripping,ducks_take_off_sh,2000,0,4.143584917926222,enc_res_ks265_mv_ripping_ducks_take_off_sh_2000
2018,ks265,mv_ripping,ducks_take_off_sh,4000,0,5.269356938716258,enc_res_ks265_mv_ripping_ducks_take_off_sh_4000
2018,sif,mv_ripping,ducks_take_off_sh,1000,0,0.2784220404577517,enc_res_sif_mv_ripping_ducks_take_off_sh_1000
2018,sif,mv_ripping,ducks_take_off_sh,2000,0,1.4900821731656644,enc_res_sif_mv_ripping_ducks_take_off_sh_2000
2018,sif,mv_ripping,ducks_take_off_sh,4000,0,3.050480650030649,enc_res_sif_mv_ripping_ducks_take_off_sh_4000
2018,sz264,mv_ripping,ducks_take_off_sh,1000,0,0.3454715257751912,enc_res_sz264_mv_ripping_ducks_take_off_sh_1000
2018,sz264,mv_ripping,ducks_take_off_sh,2000,0,2.56332552989902,enc_res_sz264_mv_ripping_ducks_take_off_sh_2000
2018,sz264,mv_ripping,ducks_take_off_sh,4000,0,4.39106916046094,enc_res_sz264_mv_ripping_ducks_take_off_sh_4000
2018,sz265,mv_ripping,ducks_take_off_sh,1000,0,2.108747633863864,enc_res_sz265_mv_ripping_ducks_take_off_sh_1000
2018,sz265,mv_ripping,ducks_take_off_sh,2000,0,4.13076524948125,enc_res_sz265_mv_ripping_ducks_take_off_sh_2000
2018,sz265,mv_ripping,ducks_take_off_sh,4000,0,5.2851326314020834,enc_res_sz265_mv_ripping_ducks_take_off_sh_4000
2018,t265,mv_ripping,ducks_take_off_sh,1000,0,2.0789890729559426,enc_res_t265_mv_ripping_ducks_take_off_sh_1000
2018,t265,mv_ripping,ducks_take_off_sh,2000,0,4.172183499004143,enc_res_t265_mv_ripping_ducks_take_off_sh_2000
2018,t265,mv_ripping,ducks_take_off_sh,4000,0,5.534516184265016,enc_res_t265_mv_ripping_ducks_take_off_sh_4000
2018,uc265,mv_ripping,ducks_take_off_sh,1000,0,1.2007240608220835,enc_res_uc265_mv_ripping_ducks_take_off_sh_1000
2018,uc265,mv_ripping,ducks_take_off_sh,2000,0,2.3970918381388264,enc_res_uc265_mv_ripping_ducks_take_off_sh_2000
2018,uc265,mv_ripping,ducks_take_off_sh,4000,0,5.307542510254901,enc_res_uc265_mv_ripping_ducks_take_off_sh_4000
2018,vp9,mv_ripping,ducks_take_off_sh,1000,0,3.002769120334289,enc_res_vp9_mv_ripping_ducks_take_off_sh_1000
2018,vp9,mv_ripping,ducks_take_off_sh,2000,0,4.711771940824117,enc_res_vp9_mv_ripping_ducks_take_off_sh_2000
2018,vp9,mv_ripping,ducks_take_off_sh,4000,0,5.548270595224288,enc_res_vp9_mv_ripping_ducks_take_off_sh_4000
2018,x264,mv_ripping,ducks_take_off_sh,1000,0,0.0,enc_res_x264_mv_ripping_ducks_take_off_sh_1000
2018,x264,mv_ripping,ducks_take_off_sh,2000,0,2.1590883860158168,enc_res_x264_mv_ripping_ducks_take_off_sh_2000
2018,x264,mv_ripping,ducks_take_off_sh,4000,0,4.329121284874227,enc_res_x264_mv_ripping_ducks_take_off_sh_4000
2018,x265,mv_ripping,ducks_take_off_sh,1000,0,2.388361334417289,enc_res_x265_mv_ripping_ducks_take_off_sh_1000
2018,x265,mv_ripping,ducks_take_off_sh,2000,0,4.426967378034091,enc_res_x265_mv_ripping_ducks_take_off_sh_2000
2018,x265,mv_ripping,ducks_take_off_sh,4000,0,5.575122705024858,enc_res_x265_mv_ripping_ducks_take_off_sh_4000
2018,intel_svt_hevc,mv_universal,ducks_take_off_sh,1000,0,2.313809690726623,enc_res_intel_svt_hevc_mv_universal_ducks_take_off_sh_1000
2018,intel_svt_hevc,mv_universal,ducks_take_off_sh,2000,0,3.910244075413461,enc_res_intel_svt_hevc_mv_universal_ducks_take_off_sh_2000
2018,intel_svt_hevc,mv_universal,ducks_take_off_sh,4000,0,5.335320879546789,enc_res_intel_svt_hevc_mv_universal_ducks_take_off_sh_4000
2018,vitec_v3,mv_fast,ducks_take_off_sh,1000,0,3.733844816648847,enc_res_vitec_v3_mv_fast_ducks_take_off_sh_1000
2018,vitec_v3,mv_fast,ducks_take_off_sh,2000,0,4.974324507610183,enc_res_vitec_v3_mv_fast_ducks_take_off_sh_2000
