Reference,Distorted,Metric,Metric_val,Mask,Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43,ssim,0.9434,False,ugc,kingsoft_v1,mv_offline_2k_v1,blue_hair,43,1297,5.243526334400184,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43,ssim,0.9433,True,ugc,kingsoft_v1,mv_offline_2k_v1,blue_hair,43,1297,5.243526334400184,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43,vmaf,71.77,False,ugc,kingsoft_v1,mv_offline_2k_v1,blue_hair,43,1297,5.243526334400184,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43,vmaf,71.82,True,ugc,kingsoft_v1,mv_offline_2k_v1,blue_hair,43,1297,5.243526334400184,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43,niqe,11.283,True,ugc,kingsoft_v1,mv_offline_2k_v1,blue_hair,43,1297,5.243526334400184,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43,niqe,9.4846,False,ugc,kingsoft_v1,mv_offline_2k_v1,blue_hair,43,1297,5.243526334400184,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,psnr,38.594,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,psnr,38.594,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,psnr,42.616,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,psnr,42.616,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
